shift,interval,difficulty,event,shift_size,response,rt,jnd,correct,subject,experimenter,experiment,version,Unnamed: 34,answer
+,500.0,0.5,trial,7.46875,True,6.0,14.9375,True,18,EM,IPAD,1.1,,True
-,575.0,0.5,trial,7.46875,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,575.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,425.0,0.5,trial,7.46875,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
+,575.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,575.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
+,575.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,500.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,425.0,0.5,trial,7.46875,True,4.0,14.9375,False,18,EM,IPAD,1.1,,False
-,425.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
+,500.0,0.5,trial,7.46875,False,5.0,14.9375,False,18,EM,IPAD,1.1,,True
-,425.0,0.5,trial,7.46875,False,2.0,14.9375,True,18,EM,IPAD,1.1,,False
-,575.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,500.0,0.5,trial,7.46875,True,2.0,14.9375,False,18,EM,IPAD,1.1,,False
-,500.0,0.5,trial,7.46875,False,2.0,14.9375,True,18,EM,IPAD,1.1,,False
-,425.0,1.0,trial,14.9375,True,4.0,14.9375,False,18,EM,IPAD,1.1,,False
+,425.0,1.0,trial,14.9375,False,1.0,14.9375,False,18,EM,IPAD,1.1,,True
-,575.0,0.5,trial,7.46875,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,575.0,0.5,trial,7.46875,True,2.0,14.9375,False,18,EM,IPAD,1.1,,False
-,500.0,1.0,trial,14.9375,False,2.0,14.9375,True,18,EM,IPAD,1.1,,False
-,575.0,1.0,trial,14.9375,False,2.0,14.9375,True,18,EM,IPAD,1.1,,False
-,500.0,0.5,trial,7.46875,True,1.0,14.9375,False,18,EM,IPAD,1.1,,False
-,500.0,1.0,trial,14.9375,False,0.0,14.9375,True,18,EM,IPAD,1.1,,False
+,575.0,1.0,trial,14.9375,False,1.0,14.9375,False,18,EM,IPAD,1.1,,True
+,575.0,1.0,trial,14.9375,False,2.0,14.9375,False,18,EM,IPAD,1.1,,True
+,575.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,500.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,425.0,1.0,trial,14.9375,False,1.0,14.9375,False,18,EM,IPAD,1.1,,True
+,575.0,0.5,trial,7.46875,False,1.0,14.9375,False,18,EM,IPAD,1.1,,True
+,575.0,0.5,trial,7.46875,False,1.0,14.9375,False,18,EM,IPAD,1.1,,True
+,500.0,1.0,trial,14.9375,False,1.0,14.9375,False,18,EM,IPAD,1.1,,True
-,425.0,0.5,trial,7.46875,False,2.0,14.9375,True,18,EM,IPAD,1.1,,False
+,575.0,1.0,trial,14.9375,True,2.0,14.9375,True,18,EM,IPAD,1.1,,True
-,425.0,0.5,trial,7.46875,True,2.0,14.9375,False,18,EM,IPAD,1.1,,False
+,500.0,1.0,trial,14.9375,False,1.0,14.9375,False,18,EM,IPAD,1.1,,True
-,425.0,0.5,trial,7.46875,True,8.0,14.9375,False,18,EM,IPAD,1.1,,False
-,500.0,0.5,trial,7.46875,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,500.0,1.0,trial,14.9375,False,2.0,14.9375,True,18,EM,IPAD,1.1,,False
+,575.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,500.0,0.5,trial,7.46875,True,3.0,14.9375,True,18,EM,IPAD,1.1,,True
+,425.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,425.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
+,500.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,425.0,0.5,trial,7.46875,False,1.0,14.9375,False,18,EM,IPAD,1.1,,True
-,425.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,575.0,1.0,trial,14.9375,True,4.0,14.9375,False,18,EM,IPAD,1.1,,False
+,500.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,575.0,1.0,trial,14.9375,False,2.0,14.9375,True,18,EM,IPAD,1.1,,False
-,575.0,0.5,trial,7.46875,False,2.0,14.9375,True,18,EM,IPAD,1.1,,False
-,575.0,0.5,trial,7.46875,False,2.0,14.9375,True,18,EM,IPAD,1.1,,False
+,575.0,0.5,trial,7.46875,True,3.0,14.9375,True,18,EM,IPAD,1.1,,True
-,575.0,0.5,trial,7.46875,False,2.0,14.9375,True,18,EM,IPAD,1.1,,False
+,575.0,0.5,trial,7.46875,True,2.0,14.9375,True,18,EM,IPAD,1.1,,True
-,500.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,500.0,0.5,trial,7.46875,False,6.0,14.9375,True,18,EM,IPAD,1.1,,False
+,425.0,0.5,trial,7.46875,True,0.0,14.9375,True,18,EM,IPAD,1.1,,True
-,425.0,1.0,trial,14.9375,False,3.0,14.9375,True,18,EM,IPAD,1.1,,False
+,425.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,425.0,0.5,trial,7.46875,True,2.0,14.9375,True,18,EM,IPAD,1.1,,True
+,500.0,1.0,trial,14.9375,True,7.0,14.9375,True,18,EM,IPAD,1.1,,True
+,425.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,425.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,425.0,0.5,trial,7.46875,True,2.0,14.9375,True,18,EM,IPAD,1.1,,True
+,500.0,1.0,trial,14.9375,True,2.0,14.9375,True,18,EM,IPAD,1.1,,True
+,500.0,0.5,trial,7.46875,True,2.0,14.9375,True,18,EM,IPAD,1.1,,True
-,500.0,1.0,trial,14.9375,False,2.0,14.9375,True,18,EM,IPAD,1.1,,False
-,425.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
+,425.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,425.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,425.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,575.0,1.0,trial,14.9375,True,2.0,14.9375,True,18,EM,IPAD,1.1,,True
-,425.0,1.0,trial,14.9375,True,2.0,14.9375,False,18,EM,IPAD,1.1,,False
+,500.0,0.5,trial,7.46875,True,9.0,14.9375,True,18,EM,IPAD,1.1,,True
-,425.0,1.0,trial,14.9375,True,5.0,14.9375,False,18,EM,IPAD,1.1,,False
+,575.0,0.5,trial,7.46875,False,0.0,14.9375,False,18,EM,IPAD,1.1,,True
-,575.0,0.5,trial,7.46875,False,6.0,14.9375,True,18,EM,IPAD,1.1,,False
-,575.0,0.5,trial,7.46875,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,425.0,0.5,trial,7.46875,True,7.0,14.9375,False,18,EM,IPAD,1.1,,False
-,575.0,0.5,trial,7.46875,False,0.0,14.9375,True,18,EM,IPAD,1.1,,False
-,500.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
+,425.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,425.0,0.5,trial,7.46875,True,1.0,14.9375,False,18,EM,IPAD,1.1,,False
+,500.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,575.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
+,575.0,0.5,trial,7.46875,True,4.0,14.9375,True,18,EM,IPAD,1.1,,True
-,425.0,1.0,trial,14.9375,False,2.0,14.9375,True,18,EM,IPAD,1.1,,False
+,500.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,575.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,425.0,0.5,trial,7.46875,True,8.0,14.9375,False,18,EM,IPAD,1.1,,False
-,500.0,0.5,trial,7.46875,True,2.0,14.9375,False,18,EM,IPAD,1.1,,False
+,500.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,575.0,1.0,trial,14.9375,False,0.0,14.9375,True,18,EM,IPAD,1.1,,False
+,425.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,500.0,0.5,trial,7.46875,False,5.0,14.9375,True,18,EM,IPAD,1.1,,False
-,500.0,0.5,trial,7.46875,True,1.0,14.9375,False,18,EM,IPAD,1.1,,False
-,500.0,0.5,trial,7.46875,True,2.0,14.9375,False,18,EM,IPAD,1.1,,False
+,575.0,0.5,trial,7.46875,True,2.0,14.9375,True,18,EM,IPAD,1.1,,True
+,575.0,1.0,trial,14.9375,True,4.0,14.9375,True,18,EM,IPAD,1.1,,True
-,425.0,0.5,trial,7.46875,True,9.0,14.9375,False,18,EM,IPAD,1.1,,False
+,425.0,0.5,trial,7.46875,False,8.0,14.9375,False,18,EM,IPAD,1.1,,True
-,500.0,1.0,trial,14.9375,False,0.0,14.9375,True,18,EM,IPAD,1.1,,False
+,575.0,1.0,trial,14.9375,True,6.0,14.9375,True,18,EM,IPAD,1.1,,True
-,500.0,0.5,trial,7.46875,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,575.0,0.5,trial,7.46875,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,425.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,500.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
+,500.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,575.0,1.0,trial,14.9375,False,2.0,14.9375,True,18,EM,IPAD,1.1,,False
+,500.0,1.0,trial,14.9375,False,1.0,14.9375,False,18,EM,IPAD,1.1,,True
+,500.0,1.0,trial,14.9375,True,5.0,14.9375,True,18,EM,IPAD,1.1,,True
+,575.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,575.0,0.5,trial,7.46875,False,2.0,14.9375,True,18,EM,IPAD,1.1,,False
+,500.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,425.0,0.5,trial,7.46875,True,1.0,14.9375,False,18,EM,IPAD,1.1,,False
+,575.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,425.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,425.0,0.5,trial,7.46875,False,2.0,14.9375,False,18,EM,IPAD,1.1,,True
-,575.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
+,500.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,425.0,0.5,trial,7.46875,True,2.0,14.9375,True,18,EM,IPAD,1.1,,True
-,575.0,1.0,trial,14.9375,False,0.0,14.9375,True,18,EM,IPAD,1.1,,False
+,575.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,500.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,425.0,1.0,trial,14.9375,True,3.0,14.9375,True,18,EM,IPAD,1.1,,True
-,500.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,500.0,0.5,trial,7.46875,True,1.0,14.9375,False,18,EM,IPAD,1.1,,False
-,425.0,0.5,trial,7.46875,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,575.0,0.5,trial,7.46875,False,7.0,14.9375,True,18,EM,IPAD,1.1,,False
+,425.0,0.5,trial,7.46875,True,2.0,14.9375,True,18,EM,IPAD,1.1,,True
+,575.0,1.0,trial,14.9375,True,6.0,14.9375,True,18,EM,IPAD,1.1,,True
-,425.0,1.0,trial,14.9375,True,1.0,14.9375,False,18,EM,IPAD,1.1,,False
+,425.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,500.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,500.0,0.5,trial,7.46875,False,8.0,14.9375,True,18,EM,IPAD,1.1,,False
+,575.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,425.0,1.0,trial,14.9375,True,5.0,14.9375,True,18,EM,IPAD,1.1,,True
-,500.0,0.5,trial,7.46875,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
+,575.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,500.0,0.5,trial,7.46875,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,575.0,1.0,trial,14.9375,False,7.0,14.9375,True,18,EM,IPAD,1.1,,False
+,425.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,425.0,1.0,trial,14.9375,False,0.0,14.9375,True,18,EM,IPAD,1.1,,False
+,500.0,1.0,trial,14.9375,False,2.0,14.9375,False,18,EM,IPAD,1.1,,True
+,425.0,0.5,trial,7.46875,True,2.0,14.9375,True,18,EM,IPAD,1.1,,True
-,575.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
+,500.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,425.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,575.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,500.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,575.0,0.5,trial,7.46875,False,2.0,14.9375,True,18,EM,IPAD,1.1,,False
-,575.0,0.5,trial,7.46875,True,1.0,14.9375,False,18,EM,IPAD,1.1,,False
+,575.0,1.0,trial,14.9375,True,2.0,14.9375,True,18,EM,IPAD,1.1,,True
+,575.0,0.5,trial,7.46875,True,8.0,14.9375,True,18,EM,IPAD,1.1,,True
+,425.0,1.0,trial,14.9375,False,1.0,14.9375,False,18,EM,IPAD,1.1,,True
+,425.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,500.0,0.5,trial,7.46875,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
+,575.0,0.5,trial,7.46875,True,7.0,14.9375,True,18,EM,IPAD,1.1,,True
+,575.0,1.0,trial,14.9375,False,2.0,14.9375,False,18,EM,IPAD,1.1,,True
-,425.0,0.5,trial,7.46875,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
+,425.0,0.5,trial,7.46875,True,2.0,14.9375,True,18,EM,IPAD,1.1,,True
-,575.0,0.5,trial,7.46875,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,425.0,1.0,trial,14.9375,False,5.0,14.9375,True,18,EM,IPAD,1.1,,False
-,425.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
+,575.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,575.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,500.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,425.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,425.0,0.5,trial,7.46875,True,1.0,14.9375,False,18,EM,IPAD,1.1,,False
+,575.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,500.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,500.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,500.0,1.0,trial,14.9375,True,1.0,14.9375,False,18,EM,IPAD,1.1,,False
-,575.0,0.5,trial,7.46875,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
+,500.0,1.0,trial,14.9375,False,2.0,14.9375,False,18,EM,IPAD,1.1,,True
+,500.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,425.0,0.5,trial,7.46875,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
-,500.0,1.0,trial,14.9375,False,1.0,14.9375,True,18,EM,IPAD,1.1,,False
+,500.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,575.0,1.0,trial,14.9375,False,6.0,14.9375,True,18,EM,IPAD,1.1,,False
-,575.0,1.0,trial,14.9375,False,3.0,14.9375,True,18,EM,IPAD,1.1,,False
+,500.0,1.0,trial,14.9375,True,2.0,14.9375,True,18,EM,IPAD,1.1,,True
+,425.0,1.0,trial,14.9375,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
+,500.0,0.5,trial,7.46875,True,1.0,14.9375,True,18,EM,IPAD,1.1,,True
-,425.0,0.5,trial,7.46875,True,1.0,14.9375,False,18,EM,IPAD,1.1,,False
+,500.0,1.0,trial,14.9375,False,2.0,14.9375,False,18,EM,IPAD,1.1,,True
+,425.0,0.5,trial,20.71875,True,0.0,41.4375,True,19,OMR,IPAD,1.1,,True
+,500.0,0.5,trial,20.71875,False,2.0,41.4375,False,19,OMR,IPAD,1.1,,True
+,425.0,1.0,trial,41.4375,True,1.0,41.4375,True,19,OMR,IPAD,1.1,,True
+,575.0,0.5,trial,20.71875,False,0.0,41.4375,False,19,OMR,IPAD,1.1,,True
-,500.0,1.0,trial,41.4375,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,425.0,0.5,trial,20.71875,True,1.0,41.4375,True,19,OMR,IPAD,1.1,,True
+,575.0,0.5,trial,20.71875,False,0.0,41.4375,False,19,OMR,IPAD,1.1,,True
-,575.0,0.5,trial,20.71875,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,500.0,1.0,trial,41.4375,True,2.0,41.4375,True,19,OMR,IPAD,1.1,,True
-,425.0,1.0,trial,41.4375,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,575.0,0.5,trial,20.71875,True,1.0,41.4375,True,19,OMR,IPAD,1.1,,True
-,425.0,1.0,trial,41.4375,True,1.0,41.4375,False,19,OMR,IPAD,1.1,,False
+,500.0,0.5,trial,20.71875,True,1.0,41.4375,True,19,OMR,IPAD,1.1,,True
+,425.0,0.5,trial,20.71875,True,1.0,41.4375,True,19,OMR,IPAD,1.1,,True
-,425.0,0.5,trial,20.71875,False,0.0,41.4375,True,19,OMR,IPAD,1.1,,False
-,575.0,0.5,trial,20.71875,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
-,425.0,1.0,trial,41.4375,True,1.0,41.4375,False,19,OMR,IPAD,1.1,,False
-,425.0,0.5,trial,20.71875,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,500.0,0.5,trial,20.71875,True,1.0,41.4375,True,19,OMR,IPAD,1.1,,True
-,575.0,1.0,trial,41.4375,False,0.0,41.4375,True,19,OMR,IPAD,1.1,,False
-,500.0,1.0,trial,41.4375,False,2.0,41.4375,True,19,OMR,IPAD,1.1,,False
-,500.0,0.5,trial,20.71875,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,425.0,0.5,trial,20.71875,True,1.0,41.4375,True,19,OMR,IPAD,1.1,,True
-,575.0,0.5,trial,20.71875,False,0.0,41.4375,True,19,OMR,IPAD,1.1,,False
-,500.0,1.0,trial,41.4375,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,425.0,0.5,trial,20.71875,False,0.0,41.4375,False,19,OMR,IPAD,1.1,,True
+,575.0,0.5,trial,20.71875,True,2.0,41.4375,True,19,OMR,IPAD,1.1,,True
-,500.0,0.5,trial,20.71875,False,2.0,41.4375,True,19,OMR,IPAD,1.1,,False
-,425.0,0.5,trial,20.71875,True,1.0,41.4375,False,19,OMR,IPAD,1.1,,False
-,425.0,0.5,trial,20.71875,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,575.0,0.5,trial,20.71875,False,1.0,41.4375,False,19,OMR,IPAD,1.1,,True
+,575.0,1.0,trial,41.4375,True,2.0,41.4375,True,19,OMR,IPAD,1.1,,True
+,500.0,1.0,trial,41.4375,True,0.0,41.4375,True,19,OMR,IPAD,1.1,,True
-,500.0,0.5,trial,20.71875,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
-,425.0,1.0,trial,41.4375,True,2.0,41.4375,False,19,OMR,IPAD,1.1,,False
-,500.0,1.0,trial,41.4375,False,0.0,41.4375,True,19,OMR,IPAD,1.1,,False
-,500.0,0.5,trial,20.71875,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,500.0,1.0,trial,41.4375,False,1.0,41.4375,False,19,OMR,IPAD,1.1,,True
-,575.0,1.0,trial,41.4375,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
-,500.0,1.0,trial,41.4375,False,0.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,425.0,1.0,trial,41.4375,True,0.0,41.4375,True,19,OMR,IPAD,1.1,,True
-,500.0,0.5,trial,20.71875,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,575.0,1.0,trial,41.4375,False,1.0,41.4375,False,19,OMR,IPAD,1.1,,True
-,575.0,1.0,trial,41.4375,True,0.0,41.4375,False,19,OMR,IPAD,1.1,,False
+,425.0,1.0,trial,41.4375,False,0.0,41.4375,False,19,OMR,IPAD,1.1,,True
+,425.0,1.0,trial,41.4375,True,1.0,41.4375,True,19,OMR,IPAD,1.1,,True
-,425.0,0.5,trial,20.71875,False,0.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,500.0,0.5,trial,20.71875,True,1.0,41.4375,True,19,OMR,IPAD,1.1,,True
+,575.0,1.0,trial,41.4375,False,0.0,41.4375,False,19,OMR,IPAD,1.1,,True
+,500.0,0.5,trial,20.71875,True,1.0,41.4375,True,19,OMR,IPAD,1.1,,True
-,575.0,0.5,trial,20.71875,False,0.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,500.0,1.0,trial,41.4375,True,0.0,41.4375,True,19,OMR,IPAD,1.1,,True
+,425.0,1.0,trial,41.4375,False,1.0,41.4375,False,19,OMR,IPAD,1.1,,True
+,575.0,1.0,trial,41.4375,True,1.0,41.4375,True,19,OMR,IPAD,1.1,,True
+,500.0,1.0,trial,41.4375,False,0.0,41.4375,False,19,OMR,IPAD,1.1,,True
-,575.0,0.5,trial,20.71875,True,2.0,41.4375,False,19,OMR,IPAD,1.1,,False
+,575.0,1.0,trial,41.4375,False,1.0,41.4375,False,19,OMR,IPAD,1.1,,True
-,575.0,1.0,trial,41.4375,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
-,575.0,1.0,trial,41.4375,True,1.0,41.4375,False,19,OMR,IPAD,1.1,,False
-,425.0,1.0,trial,41.4375,True,0.0,41.4375,False,19,OMR,IPAD,1.1,,False
+,425.0,1.0,trial,41.4375,True,0.0,41.4375,True,19,OMR,IPAD,1.1,,True
+,575.0,1.0,trial,41.4375,False,0.0,41.4375,False,19,OMR,IPAD,1.1,,True
+,575.0,1.0,trial,41.4375,True,1.0,41.4375,True,19,OMR,IPAD,1.1,,True
+,425.0,0.5,trial,20.71875,False,0.0,41.4375,False,19,OMR,IPAD,1.1,,True
+,425.0,0.5,trial,20.71875,True,1.0,41.4375,True,19,OMR,IPAD,1.1,,True
+,575.0,0.5,trial,20.71875,False,1.0,41.4375,False,19,OMR,IPAD,1.1,,True
-,575.0,0.5,trial,20.71875,False,0.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,500.0,1.0,trial,41.4375,False,1.0,41.4375,False,19,OMR,IPAD,1.1,,True
-,500.0,1.0,trial,41.4375,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,575.0,1.0,trial,41.4375,False,0.0,41.4375,False,19,OMR,IPAD,1.1,,True
-,425.0,1.0,trial,41.4375,True,1.0,41.4375,False,19,OMR,IPAD,1.1,,False
+,500.0,1.0,trial,41.4375,True,1.0,41.4375,True,19,OMR,IPAD,1.1,,True
-,500.0,0.5,trial,20.71875,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
-,425.0,1.0,trial,41.4375,False,0.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,575.0,0.5,trial,20.71875,True,1.0,41.4375,True,19,OMR,IPAD,1.1,,True
+,500.0,0.5,trial,20.71875,False,1.0,41.4375,False,19,OMR,IPAD,1.1,,True
+,425.0,1.0,trial,41.4375,False,0.0,41.4375,False,19,OMR,IPAD,1.1,,True
-,500.0,0.5,trial,20.71875,True,1.0,41.4375,False,19,OMR,IPAD,1.1,,False
-,500.0,1.0,trial,41.4375,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
-,425.0,1.0,trial,41.4375,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
-,575.0,0.5,trial,20.71875,False,0.0,41.4375,True,19,OMR,IPAD,1.1,,False
-,425.0,0.5,trial,20.71875,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,500.0,0.5,trial,20.71875,False,1.0,41.4375,False,19,OMR,IPAD,1.1,,True
-,500.0,0.5,trial,20.71875,True,1.0,41.4375,False,19,OMR,IPAD,1.1,,False
-,425.0,0.5,trial,20.71875,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,500.0,0.5,trial,20.71875,True,0.0,41.4375,True,19,OMR,IPAD,1.1,,True
-,425.0,0.5,trial,20.71875,False,0.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,575.0,1.0,trial,41.4375,True,1.0,41.4375,True,19,OMR,IPAD,1.1,,True
+,575.0,0.5,trial,20.71875,False,1.0,41.4375,False,19,OMR,IPAD,1.1,,True
+,425.0,1.0,trial,41.4375,False,2.0,41.4375,False,19,OMR,IPAD,1.1,,True
+,575.0,0.5,trial,20.71875,True,1.0,41.4375,True,19,OMR,IPAD,1.1,,True
-,575.0,1.0,trial,41.4375,False,0.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,425.0,1.0,trial,41.4375,True,0.0,41.4375,True,19,OMR,IPAD,1.1,,True
+,500.0,1.0,trial,41.4375,False,1.0,41.4375,False,19,OMR,IPAD,1.1,,True
-,575.0,1.0,trial,41.4375,False,2.0,41.4375,True,19,OMR,IPAD,1.1,,False
+,500.0,1.0,trial,41.4375,True,1.0,41.4375,True,19,OMR,IPAD,1.1,,True
-,425.0,1.0,trial,41.4375,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
-,575.0,0.5,trial,20.71875,True,2.0,41.4375,False,19,OMR,IPAD,1.1,,False
+,425.0,0.5,trial,20.71875,False,1.0,41.4375,False,19,OMR,IPAD,1.1,,True
+,500.0,0.5,trial,20.71875,True,0.0,41.4375,True,19,OMR,IPAD,1.1,,True
+,425.0,0.5,trial,20.71875,False,0.0,41.4375,False,19,OMR,IPAD,1.1,,True
-,425.0,0.5,trial,20.71875,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
-,575.0,1.0,trial,41.4375,False,1.0,41.4375,True,19,OMR,IPAD,1.1,,False
