shift,interval,difficulty,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,.label,.startVal,.nReversals,.stepSizes,.nUp,.nDown,.minVal,.maxVal,.stepType,.shift,.thisIndex,.thisRepN,.thisN,.direction,.stepSize,.intensity,.response,shift_size,response,rt,jnd,correct,subject,experimenter,experiment,version,
,,,,0,-1,-1,0,s-,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,up,1,44,True,,,,,,7,OMR,IPAD,1.0,
,,,,0,-1,-1,0,l+,25,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,+,0,0,-1,up,1,26,True,,,,,,7,OMR,IPAD,1.0,
,,,,0,-1,-1,0,s-,1,8,"[8, 8, 4, 4, 2, 2, 1, 1]",1,2,0,100,lin,-,0,0,-1,down,1,43,False,,,,,,7,OMR,IPAD,1.0,
-,500,4,practice,0,0,0,0,,,,,,,,,,,0,0,0,,,,,114.0,-,4,28.5,1,7,OMR,IPAD,1.0,
-,500,4,practice,0,1,1,1,,,,,,,,,,,1,0,1,,,,,114.0,-,2,28.5,1,7,OMR,IPAD,1.0,
+,500,4,practice,0,2,2,2,,,,,,,,,,,2,0,2,,,,,114.0,+,1,28.5,1,7,OMR,IPAD,1.0,
+,500,4,practice,0,3,3,3,,,,,,,,,,,3,0,3,,,,,114.0,+,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1,trial,0,4,4,4,,,,,,,,,,,4,0,4,,,,,28.5,+,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1,trial,0,5,5,5,,,,,,,,,,,5,0,5,,,,,28.5,-,1,28.5,0,7,OMR,IPAD,1.0,
+,425,1,trial,0,6,6,6,,,,,,,,,,,6,0,6,,,,,28.5,+,2,28.5,1,7,OMR,IPAD,1.0,
+,575,1.5,trial,0,7,7,7,,,,,,,,,,,7,0,7,,,,,42.75,-,0,28.5,0,7,OMR,IPAD,1.0,
+,500,1.5,trial,0,8,8,8,,,,,,,,,,,8,0,8,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
+,425,1.5,trial,0,9,9,9,,,,,,,,,,,9,0,9,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
+,575,1,trial,0,10,10,10,,,,,,,,,,,10,0,10,,,,,28.5,+,0,28.5,1,7,OMR,IPAD,1.0,
+,500,1.5,trial,0,11,11,11,,,,,,,,,,,11,0,11,,,,,42.75,+,2,28.5,1,7,OMR,IPAD,1.0,
+,425,1,trial,0,12,12,12,,,,,,,,,,,12,0,12,,,,,28.5,-,3,28.5,0,7,OMR,IPAD,1.0,
+,425,1.5,trial,0,13,13,13,,,,,,,,,,,13,0,13,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
-,500,1,trial,0,14,14,14,,,,,,,,,,,14,0,14,,,,,28.5,-,2,28.5,1,7,OMR,IPAD,1.0,
+,575,1.5,trial,0,15,15,15,,,,,,,,,,,15,0,15,,,,,42.75,+,3,28.5,1,7,OMR,IPAD,1.0,
+,425,1.5,trial,0,16,16,16,,,,,,,,,,,16,0,16,,,,,42.75,+,0,28.5,1,7,OMR,IPAD,1.0,
-,425,1.5,trial,0,17,17,17,,,,,,,,,,,17,0,17,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
-,425,1.5,trial,0,18,18,18,,,,,,,,,,,18,0,18,,,,,42.75,-,0,28.5,1,7,OMR,IPAD,1.0,
+,500,1,trial,0,19,19,19,,,,,,,,,,,19,0,19,,,,,28.5,+,1,28.5,1,7,OMR,IPAD,1.0,
+,575,1,trial,0,20,20,20,,,,,,,,,,,20,0,20,,,,,28.5,+,1,28.5,1,7,OMR,IPAD,1.0,
+,425,1,trial,0,21,21,21,,,,,,,,,,,21,0,21,,,,,28.5,+,1,28.5,1,7,OMR,IPAD,1.0,
-,500,1.5,trial,0,22,22,22,,,,,,,,,,,22,0,22,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
+,575,1.5,trial,0,23,23,23,,,,,,,,,,,23,0,23,,,,,42.75,-,1,28.5,0,7,OMR,IPAD,1.0,
-,425,1,trial,0,24,24,24,,,,,,,,,,,24,0,24,,,,,28.5,-,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1,trial,0,25,25,25,,,,,,,,,,,25,0,25,,,,,28.5,-,0,28.5,0,7,OMR,IPAD,1.0,
+,425,1.5,trial,0,26,26,26,,,,,,,,,,,26,0,26,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1,trial,0,27,27,27,,,,,,,,,,,27,0,27,,,,,28.5,+,0,28.5,1,7,OMR,IPAD,1.0,
-,425,1,trial,0,28,28,28,,,,,,,,,,,28,0,28,,,,,28.5,+,0,28.5,0,7,OMR,IPAD,1.0,
+,425,1,trial,0,29,29,29,,,,,,,,,,,29,0,29,,,,,28.5,+,6,28.5,1,7,OMR,IPAD,1.0,
-,500,1,trial,0,30,30,30,,,,,,,,,,,30,0,30,,,,,28.5,-,1,28.5,1,7,OMR,IPAD,1.0,
-,425,1,trial,0,31,31,31,,,,,,,,,,,31,0,31,,,,,28.5,-,2,28.5,1,7,OMR,IPAD,1.0,
-,575,1.5,trial,0,32,32,32,,,,,,,,,,,32,0,32,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
-,425,1.5,trial,0,33,33,33,,,,,,,,,,,33,0,33,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
-,500,1.5,trial,0,34,34,34,,,,,,,,,,,34,0,34,,,,,42.75,-,0,28.5,1,7,OMR,IPAD,1.0,
-,500,1,trial,0,35,35,35,,,,,,,,,,,35,0,35,,,,,28.5,-,0,28.5,1,7,OMR,IPAD,1.0,
+,575,1.5,trial,0,36,36,36,,,,,,,,,,,36,0,36,,,,,42.75,+,0,28.5,1,7,OMR,IPAD,1.0,
-,500,1,trial,0,37,37,37,,,,,,,,,,,37,0,37,,,,,28.5,-,9,28.5,1,7,OMR,IPAD,1.0,
+,575,1.5,trial,0,38,38,38,,,,,,,,,,,38,0,38,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
-,500,1.5,trial,0,39,39,39,,,,,,,,,,,39,0,39,,,,,42.75,+,1,28.5,0,7,OMR,IPAD,1.0,
-,425,1,trial,0,40,40,40,,,,,,,,,,,40,0,40,,,,,28.5,-,1,28.5,1,7,OMR,IPAD,1.0,
-,575,1.5,trial,0,41,41,41,,,,,,,,,,,41,0,41,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
-,500,1.5,trial,0,42,42,42,,,,,,,,,,,42,0,42,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
-,575,1.5,trial,0,43,43,43,,,,,,,,,,,43,0,43,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
+,425,1.5,trial,0,44,44,44,,,,,,,,,,,44,0,44,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
-,425,1.5,trial,0,45,45,45,,,,,,,,,,,45,0,45,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
+,575,1,trial,0,46,46,46,,,,,,,,,,,46,0,46,,,,,28.5,+,0,28.5,1,7,OMR,IPAD,1.0,
-,575,1.5,trial,0,47,47,47,,,,,,,,,,,47,0,47,,,,,42.75,-,2,28.5,1,7,OMR,IPAD,1.0,
-,500,1.5,trial,0,48,48,48,,,,,,,,,,,48,0,48,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
-,575,1,trial,0,49,49,49,,,,,,,,,,,49,0,49,,,,,28.5,+,2,28.5,0,7,OMR,IPAD,1.0,
+,575,1,trial,0,50,50,50,,,,,,,,,,,50,0,50,,,,,28.5,-,1,28.5,0,7,OMR,IPAD,1.0,
+,575,1,trial,0,51,51,51,,,,,,,,,,,51,0,51,,,,,28.5,+,0,28.5,1,7,OMR,IPAD,1.0,
-,575,1.5,trial,0,52,52,52,,,,,,,,,,,52,0,52,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1.5,trial,0,53,53,53,,,,,,,,,,,53,0,53,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
-,575,1,trial,0,54,54,54,,,,,,,,,,,54,0,54,,,,,28.5,-,0,28.5,1,7,OMR,IPAD,1.0,
+,425,1,trial,0,55,55,55,,,,,,,,,,,55,0,55,,,,,28.5,+,1,28.5,1,7,OMR,IPAD,1.0,
-,575,1,trial,0,56,56,56,,,,,,,,,,,56,0,56,,,,,28.5,+,1,28.5,0,7,OMR,IPAD,1.0,
-,575,1,trial,0,57,57,57,,,,,,,,,,,57,0,57,,,,,28.5,-,0,28.5,1,7,OMR,IPAD,1.0,
-,500,1,trial,0,58,58,58,,,,,,,,,,,58,0,58,,,,,28.5,-,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1.5,trial,0,59,59,59,,,,,,,,,,,59,0,59,,,,,42.75,-,1,28.5,0,7,OMR,IPAD,1.0,
+,500,1.5,trial,0,60,60,60,,,,,,,,,,,60,0,60,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
-,575,1,trial,0,61,61,61,,,,,,,,,,,61,0,61,,,,,28.5,-,2,28.5,1,7,OMR,IPAD,1.0,
-,425,1.5,trial,0,62,62,62,,,,,,,,,,,62,0,62,,,,,42.75,+,0,28.5,0,7,OMR,IPAD,1.0,
-,425,1,trial,0,63,63,63,,,,,,,,,,,63,0,63,,,,,28.5,-,1,28.5,1,7,OMR,IPAD,1.0,
+,575,1.5,trial,0,64,64,64,,,,,,,,,,,64,0,64,,,,,42.75,-,0,28.5,0,7,OMR,IPAD,1.0,
-,425,1.5,trial,0,65,65,65,,,,,,,,,,,65,0,65,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1,trial,0,66,66,66,,,,,,,,,,,66,0,66,,,,,28.5,-,1,28.5,0,7,OMR,IPAD,1.0,
-,575,1.5,trial,0,67,67,67,,,,,,,,,,,67,0,67,,,,,42.75,-,0,28.5,1,7,OMR,IPAD,1.0,
+,425,1,trial,0,68,68,68,,,,,,,,,,,68,0,68,,,,,28.5,+,0,28.5,1,7,OMR,IPAD,1.0,
-,500,1,trial,0,69,69,69,,,,,,,,,,,69,0,69,,,,,28.5,-,0,28.5,1,7,OMR,IPAD,1.0,
-,425,1,trial,0,70,70,70,,,,,,,,,,,70,0,70,,,,,28.5,-,1,28.5,1,7,OMR,IPAD,1.0,
-,575,1.5,trial,0,71,71,71,,,,,,,,,,,71,0,71,,,,,42.75,-,0,28.5,1,7,OMR,IPAD,1.0,
-,500,1.5,trial,0,72,72,72,,,,,,,,,,,72,0,72,,,,,42.75,-,0,28.5,1,7,OMR,IPAD,1.0,
-,575,1,trial,0,73,73,73,,,,,,,,,,,73,0,73,,,,,28.5,-,0,28.5,1,7,OMR,IPAD,1.0,
-,575,1.5,trial,0,74,74,74,,,,,,,,,,,74,0,74,,,,,42.75,-,0,28.5,1,7,OMR,IPAD,1.0,
+,575,1.5,trial,0,75,75,75,,,,,,,,,,,75,0,75,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
-,575,1,trial,0,76,76,76,,,,,,,,,,,76,0,76,,,,,28.5,-,1,28.5,1,7,OMR,IPAD,1.0,
+,425,1,trial,0,77,77,77,,,,,,,,,,,77,0,77,,,,,28.5,-,1,28.5,0,7,OMR,IPAD,1.0,
+,575,1,trial,0,78,78,78,,,,,,,,,,,78,0,78,,,,,28.5,+,0,28.5,1,7,OMR,IPAD,1.0,
-,425,1.5,trial,0,79,79,79,,,,,,,,,,,79,0,79,,,,,42.75,+,2,28.5,0,7,OMR,IPAD,1.0,
+,500,1.5,trial,0,80,80,80,,,,,,,,,,,80,0,80,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
-,425,1.5,trial,0,81,81,81,,,,,,,,,,,81,0,81,,,,,42.75,+,1,28.5,0,7,OMR,IPAD,1.0,
+,500,1,trial,0,82,82,82,,,,,,,,,,,82,0,82,,,,,28.5,-,0,28.5,0,7,OMR,IPAD,1.0,
-,500,1.5,trial,0,83,83,83,,,,,,,,,,,83,0,83,,,,,42.75,-,0,28.5,1,7,OMR,IPAD,1.0,
+,425,1.5,trial,0,84,84,84,,,,,,,,,,,84,0,84,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
-,500,1,trial,0,85,85,85,,,,,,,,,,,85,0,85,,,,,28.5,-,1,28.5,1,7,OMR,IPAD,1.0,
+,425,1,trial,0,86,86,86,,,,,,,,,,,86,0,86,,,,,28.5,+,0,28.5,1,7,OMR,IPAD,1.0,
+,500,1.5,trial,0,87,87,87,,,,,,,,,,,87,0,87,,,,,42.75,+,0,28.5,1,7,OMR,IPAD,1.0,
-,575,1.5,trial,0,88,88,88,,,,,,,,,,,88,0,88,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1,trial,0,89,89,89,,,,,,,,,,,89,0,89,,,,,28.5,+,1,28.5,1,7,OMR,IPAD,1.0,
-,500,1.5,trial,0,90,90,90,,,,,,,,,,,90,0,90,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
-,500,1,trial,0,91,91,91,,,,,,,,,,,91,0,91,,,,,28.5,-,1,28.5,1,7,OMR,IPAD,1.0,
+,425,1,trial,0,92,92,92,,,,,,,,,,,92,0,92,,,,,28.5,+,1,28.5,1,7,OMR,IPAD,1.0,
-,500,1,trial,0,93,93,93,,,,,,,,,,,93,0,93,,,,,28.5,-,0,28.5,1,7,OMR,IPAD,1.0,
-,500,1,trial,0,94,94,94,,,,,,,,,,,94,0,94,,,,,28.5,-,1,28.5,1,7,OMR,IPAD,1.0,
+,575,1,trial,0,95,95,95,,,,,,,,,,,95,0,95,,,,,28.5,-,1,28.5,0,7,OMR,IPAD,1.0,
-,425,1.5,trial,0,96,96,96,,,,,,,,,,,96,0,96,,,,,42.75,+,0,28.5,0,7,OMR,IPAD,1.0,
+,425,1.5,trial,0,97,97,97,,,,,,,,,,,97,0,97,,,,,42.75,+,0,28.5,1,7,OMR,IPAD,1.0,
-,425,1,trial,0,98,98,98,,,,,,,,,,,98,0,98,,,,,28.5,+,1,28.5,0,7,OMR,IPAD,1.0,
+,500,1.5,trial,0,99,99,99,,,,,,,,,,,99,0,99,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
+,575,1.5,trial,0,100,100,100,,,,,,,,,,,100,0,100,,,,,42.75,-,1,28.5,0,7,OMR,IPAD,1.0,
+,425,1,trial,0,101,101,101,,,,,,,,,,,101,0,101,,,,,28.5,+,0,28.5,1,7,OMR,IPAD,1.0,
-,425,1,trial,0,102,102,102,,,,,,,,,,,102,0,102,,,,,28.5,+,0,28.5,0,7,OMR,IPAD,1.0,
-,500,1.5,trial,0,103,103,103,,,,,,,,,,,103,0,103,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
+,575,1,trial,0,104,104,104,,,,,,,,,,,104,0,104,,,,,28.5,-,4,28.5,0,7,OMR,IPAD,1.0,
-,575,1,trial,0,105,105,105,,,,,,,,,,,105,0,105,,,,,28.5,-,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1,trial,0,106,106,106,,,,,,,,,,,106,0,106,,,,,28.5,-,1,28.5,0,7,OMR,IPAD,1.0,
+,500,1.5,trial,0,107,107,107,,,,,,,,,,,107,0,107,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
-,575,1,trial,0,108,108,108,,,,,,,,,,,108,0,108,,,,,28.5,+,6,28.5,0,7,OMR,IPAD,1.0,
+,425,1.5,trial,0,109,109,109,,,,,,,,,,,109,0,109,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
-,575,1.5,trial,0,110,110,110,,,,,,,,,,,110,0,110,,,,,42.75,-,3,28.5,1,7,OMR,IPAD,1.0,
+,425,1.5,trial,0,111,111,111,,,,,,,,,,,111,0,111,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
+,575,1.5,trial,0,112,112,112,,,,,,,,,,,112,0,112,,,,,42.75,-,1,28.5,0,7,OMR,IPAD,1.0,
+,500,1.5,trial,0,113,113,113,,,,,,,,,,,113,0,113,,,,,42.75,+,0,28.5,1,7,OMR,IPAD,1.0,
+,500,1,trial,0,114,114,114,,,,,,,,,,,114,0,114,,,,,28.5,+,1,28.5,1,7,OMR,IPAD,1.0,
-,425,1,trial,0,115,115,115,,,,,,,,,,,115,0,115,,,,,28.5,-,0,28.5,1,7,OMR,IPAD,1.0,
+,575,1,trial,0,116,116,116,,,,,,,,,,,116,0,116,,,,,28.5,+,2,28.5,1,7,OMR,IPAD,1.0,
-,425,1,trial,0,117,117,117,,,,,,,,,,,117,0,117,,,,,28.5,-,1,28.5,1,7,OMR,IPAD,1.0,
-,425,1.5,trial,0,118,118,118,,,,,,,,,,,118,0,118,,,,,42.75,-,0,28.5,1,7,OMR,IPAD,1.0,
+,425,1.5,trial,0,119,119,119,,,,,,,,,,,119,0,119,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
+,575,1,trial,0,120,120,120,,,,,,,,,,,120,0,120,,,,,28.5,+,1,28.5,1,7,OMR,IPAD,1.0,
-,500,1.5,trial,0,121,121,121,,,,,,,,,,,121,0,121,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
+,575,1.5,trial,0,122,122,122,,,,,,,,,,,122,0,122,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
-,575,1,trial,0,123,123,123,,,,,,,,,,,123,0,123,,,,,28.5,-,0,28.5,1,7,OMR,IPAD,1.0,
+,500,1,trial,0,124,124,124,,,,,,,,,,,124,0,124,,,,,28.5,+,0,28.5,1,7,OMR,IPAD,1.0,
-,425,1.5,trial,0,125,125,125,,,,,,,,,,,125,0,125,,,,,42.75,-,4,28.5,1,7,OMR,IPAD,1.0,
-,575,1.5,trial,0,126,126,126,,,,,,,,,,,126,0,126,,,,,42.75,-,0,28.5,1,7,OMR,IPAD,1.0,
+,575,1,trial,0,127,127,127,,,,,,,,,,,127,0,127,,,,,28.5,+,1,28.5,1,7,OMR,IPAD,1.0,
-,500,1,trial,0,128,128,128,,,,,,,,,,,128,0,128,,,,,28.5,-,0,28.5,1,7,OMR,IPAD,1.0,
+,425,1.5,trial,0,129,129,129,,,,,,,,,,,129,0,129,,,,,42.75,+,0,28.5,1,7,OMR,IPAD,1.0,
+,425,1,trial,0,130,130,130,,,,,,,,,,,130,0,130,,,,,28.5,+,0,28.5,1,7,OMR,IPAD,1.0,
-,425,1,trial,0,131,131,131,,,,,,,,,,,131,0,131,,,,,28.5,-,0,28.5,1,7,OMR,IPAD,1.0,
-,575,1.5,trial,0,132,132,132,,,,,,,,,,,132,0,132,,,,,42.75,-,0,28.5,1,7,OMR,IPAD,1.0,
-,575,1,trial,0,133,133,133,,,,,,,,,,,133,0,133,,,,,28.5,-,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1.5,trial,0,134,134,134,,,,,,,,,,,134,0,134,,,,,42.75,-,5,28.5,0,7,OMR,IPAD,1.0,
+,425,1.5,trial,0,135,135,135,,,,,,,,,,,135,0,135,,,,,42.75,+,2,28.5,1,7,OMR,IPAD,1.0,
-,425,1,trial,0,136,136,136,,,,,,,,,,,136,0,136,,,,,28.5,+,1,28.5,0,7,OMR,IPAD,1.0,
+,575,1,trial,0,137,137,137,,,,,,,,,,,137,0,137,,,,,28.5,-,0,28.5,0,7,OMR,IPAD,1.0,
+,575,1,trial,0,138,138,138,,,,,,,,,,,138,0,138,,,,,28.5,+,1,28.5,1,7,OMR,IPAD,1.0,
-,500,1,trial,0,139,139,139,,,,,,,,,,,139,0,139,,,,,28.5,-,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1,trial,0,140,140,140,,,,,,,,,,,140,0,140,,,,,28.5,+,3,28.5,1,7,OMR,IPAD,1.0,
-,500,1.5,trial,0,141,141,141,,,,,,,,,,,141,0,141,,,,,42.75,-,7,28.5,1,7,OMR,IPAD,1.0,
-,425,1.5,trial,0,142,142,142,,,,,,,,,,,142,0,142,,,,,42.75,-,0,28.5,1,7,OMR,IPAD,1.0,
-,575,1.5,trial,0,143,143,143,,,,,,,,,,,143,0,143,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1,trial,0,144,144,144,,,,,,,,,,,144,0,144,,,,,28.5,+,2,28.5,1,7,OMR,IPAD,1.0,
+,425,1,trial,0,145,145,145,,,,,,,,,,,145,0,145,,,,,28.5,+,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1.5,trial,0,146,146,146,,,,,,,,,,,146,0,146,,,,,42.75,+,0,28.5,1,7,OMR,IPAD,1.0,
-,575,1,trial,0,147,147,147,,,,,,,,,,,147,0,147,,,,,28.5,-,0,28.5,1,7,OMR,IPAD,1.0,
+,575,1.5,trial,0,148,148,148,,,,,,,,,,,148,0,148,,,,,42.75,+,3,28.5,1,7,OMR,IPAD,1.0,
+,425,1,trial,0,149,149,149,,,,,,,,,,,149,0,149,,,,,28.5,+,1,28.5,1,7,OMR,IPAD,1.0,
-,500,1,trial,0,150,150,150,,,,,,,,,,,150,0,150,,,,,28.5,+,4,28.5,0,7,OMR,IPAD,1.0,
+,425,1.5,trial,0,151,151,151,,,,,,,,,,,151,0,151,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
+,575,1.5,trial,0,152,152,152,,,,,,,,,,,152,0,152,,,,,42.75,+,0,28.5,1,7,OMR,IPAD,1.0,
-,500,1,trial,0,153,153,153,,,,,,,,,,,153,0,153,,,,,28.5,-,0,28.5,1,7,OMR,IPAD,1.0,
-,500,1.5,trial,0,154,154,154,,,,,,,,,,,154,0,154,,,,,42.75,+,2,28.5,0,7,OMR,IPAD,1.0,
-,575,1,trial,0,155,155,155,,,,,,,,,,,155,0,155,,,,,28.5,-,5,28.5,1,7,OMR,IPAD,1.0,
+,575,1.5,trial,0,156,156,156,,,,,,,,,,,156,0,156,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
-,425,1.5,trial,0,157,157,157,,,,,,,,,,,157,0,157,,,,,42.75,-,0,28.5,1,7,OMR,IPAD,1.0,
-,500,1.5,trial,0,158,158,158,,,,,,,,,,,158,0,158,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1.5,trial,0,159,159,159,,,,,,,,,,,159,0,159,,,,,42.75,-,2,28.5,0,7,OMR,IPAD,1.0,
+,425,1.5,trial,0,160,160,160,,,,,,,,,,,160,0,160,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1.5,trial,0,161,161,161,,,,,,,,,,,161,0,161,,,,,42.75,+,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1.5,trial,0,162,162,162,,,,,,,,,,,162,0,162,,,,,42.75,+,0,28.5,1,7,OMR,IPAD,1.0,
+,425,1.5,trial,0,163,163,163,,,,,,,,,,,163,0,163,,,,,42.75,+,0,28.5,1,7,OMR,IPAD,1.0,
-,425,1.5,trial,0,164,164,164,,,,,,,,,,,164,0,164,,,,,42.75,-,3,28.5,1,7,OMR,IPAD,1.0,
-,575,1.5,trial,0,165,165,165,,,,,,,,,,,165,0,165,,,,,42.75,-,0,28.5,1,7,OMR,IPAD,1.0,
-,575,1.5,trial,0,166,166,166,,,,,,,,,,,166,0,166,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1,trial,0,167,167,167,,,,,,,,,,,167,0,167,,,,,28.5,+,2,28.5,1,7,OMR,IPAD,1.0,
-,500,1.5,trial,0,168,168,168,,,,,,,,,,,168,0,168,,,,,42.75,+,2,28.5,0,7,OMR,IPAD,1.0,
+,425,1,trial,0,169,169,169,,,,,,,,,,,169,0,169,,,,,28.5,+,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1,trial,0,170,170,170,,,,,,,,,,,170,0,170,,,,,28.5,+,1,28.5,1,7,OMR,IPAD,1.0,
+,575,1.5,trial,0,171,171,171,,,,,,,,,,,171,0,171,,,,,42.75,-,4,28.5,0,7,OMR,IPAD,1.0,
-,425,1.5,trial,0,172,172,172,,,,,,,,,,,172,0,172,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
+,425,1,trial,0,173,173,173,,,,,,,,,,,173,0,173,,,,,28.5,+,1,28.5,1,7,OMR,IPAD,1.0,
+,575,1,trial,0,174,174,174,,,,,,,,,,,174,0,174,,,,,28.5,-,0,28.5,0,7,OMR,IPAD,1.0,
+,575,1,trial,0,175,175,175,,,,,,,,,,,175,0,175,,,,,28.5,+,2,28.5,1,7,OMR,IPAD,1.0,
-,500,1,trial,0,176,176,176,,,,,,,,,,,176,0,176,,,,,28.5,-,2,28.5,1,7,OMR,IPAD,1.0,
-,575,1,trial,0,177,177,177,,,,,,,,,,,177,0,177,,,,,28.5,+,3,28.5,0,7,OMR,IPAD,1.0,
+,575,1.5,trial,0,178,178,178,,,,,,,,,,,178,0,178,,,,,42.75,-,0,28.5,0,7,OMR,IPAD,1.0,
-,425,1,trial,0,179,179,179,,,,,,,,,,,179,0,179,,,,,28.5,-,1,28.5,1,7,OMR,IPAD,1.0,
-,500,1.5,trial,0,180,180,180,,,,,,,,,,,180,0,180,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
-,425,1,trial,0,181,181,181,,,,,,,,,,,181,0,181,,,,,28.5,-,0,28.5,1,7,OMR,IPAD,1.0,
-,575,1,trial,0,182,182,182,,,,,,,,,,,182,0,182,,,,,28.5,-,3,28.5,1,7,OMR,IPAD,1.0,
-,425,1,trial,0,183,183,183,,,,,,,,,,,183,0,183,,,,,28.5,-,0,28.5,1,7,OMR,IPAD,1.0,
-,500,1.5,trial,0,184,184,184,,,,,,,,,,,184,0,184,,,,,42.75,+,2,28.5,0,7,OMR,IPAD,1.0,
+,500,1.5,trial,0,185,185,185,,,,,,,,,,,185,0,185,,,,,42.75,+,0,28.5,1,7,OMR,IPAD,1.0,
+,425,1.5,trial,0,186,186,186,,,,,,,,,,,186,0,186,,,,,42.75,+,0,28.5,1,7,OMR,IPAD,1.0,
-,425,1.5,trial,0,187,187,187,,,,,,,,,,,187,0,187,,,,,42.75,+,5,28.5,0,7,OMR,IPAD,1.0,
-,575,1.5,trial,0,188,188,188,,,,,,,,,,,188,0,188,,,,,42.75,+,2,28.5,0,7,OMR,IPAD,1.0,
-,575,1,trial,0,189,189,189,,,,,,,,,,,189,0,189,,,,,28.5,-,1,28.5,1,7,OMR,IPAD,1.0,
-,500,1.5,trial,0,190,190,190,,,,,,,,,,,190,0,190,,,,,42.75,-,1,28.5,1,7,OMR,IPAD,1.0,
+,500,1,trial,0,191,191,191,,,,,,,,,,,191,0,191,,,,,28.5,+,0,28.5,1,7,OMR,IPAD,1.0,
+,500,1,trial,0,192,192,192,,,,,,,,,,,192,0,192,,,,,28.5,+,0,28.5,1,7,OMR,IPAD,1.0,
+,575,1,trial,0,193,193,193,,,,,,,,,,,193,0,193,,,,,28.5,+,1,28.5,1,7,OMR,IPAD,1.0,
-,425,1.5,trial,0,194,194,194,,,,,,,,,,,194,0,194,,,,,42.75,-,0,28.5,1,7,OMR,IPAD,1.0,
-,575,1.5,trial,0,195,195,195,,,,,,,,,,,195,0,195,,,,,42.75,-,0,28.5,1,7,OMR,IPAD,1.0,
-,500,1,trial,0,196,196,196,,,,,,,,,,,196,0,196,,,,,28.5,-,1,28.5,1,7,OMR,IPAD,1.0,
-,575,1,trial,0,197,197,197,,,,,,,,,,,197,0,197,,,,,28.5,-,1,28.5,1,7,OMR,IPAD,1.0,
+,425,1,trial,0,198,198,198,,,,,,,,,,,198,0,198,,,,,28.5,+,1,28.5,1,7,OMR,IPAD,1.0,
