shift,interval,difficulty,event,.thisRepN,.thisTrialN,.thisN,.thisIndex,.label,.startVal,.nReversals,.stepSizes,.nUp,.nDown,.minVal,.maxVal,.stepType,.shift,.thisIndex,.thisRepN,.thisN,.direction,.stepSize,.intensity,.response,shift_size,response,rt,jnd,correct,subject,experimenter,experiment,version,
+,575,1,trial,0,14,14,14,,,,,,,,,,,14,0,14,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
+,575,1,trial,0,15,15,15,,,,,,,,,,,15,0,15,,,,,38.6875,+,2,38.6875,1,21,OMR,IPAD,1.1,
+,425,0.5,trial,0,16,16,16,,,,,,,,,,,16,0,16,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,500,0.5,trial,0,17,17,17,,,,,,,,,,,17,0,17,,,,,19.34375,+,1,38.6875,1,21,OMR,IPAD,1.1,
-,500,0.5,trial,0,18,18,18,,,,,,,,,,,18,0,18,,,,,19.34375,-,3,38.6875,1,21,OMR,IPAD,1.1,
-,425,0.5,trial,0,19,19,19,,,,,,,,,,,19,0,19,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,500,1,trial,0,20,20,20,,,,,,,,,,,20,0,20,,,,,38.6875,-,1,38.6875,1,21,OMR,IPAD,1.1,
-,425,0.5,trial,0,21,21,21,,,,,,,,,,,21,0,21,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,500,0.5,trial,0,22,22,22,,,,,,,,,,,22,0,22,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,425,1,trial,0,23,23,23,,,,,,,,,,,23,0,23,,,,,38.6875,-,1,38.6875,1,21,OMR,IPAD,1.1,
+,500,1,trial,0,24,24,24,,,,,,,,,,,24,0,24,,,,,38.6875,-,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,0.5,trial,0,25,25,25,,,,,,,,,,,25,0,25,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,425,0.5,trial,0,26,26,26,,,,,,,,,,,26,0,26,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,425,0.5,trial,0,27,27,27,,,,,,,,,,,27,0,27,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,0.5,trial,0,28,28,28,,,,,,,,,,,28,0,28,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,575,0.5,trial,0,29,29,29,,,,,,,,,,,29,0,29,,,,,19.34375,-,2,38.6875,0,21,OMR,IPAD,1.1,
-,500,1,trial,0,30,30,30,,,,,,,,,,,30,0,30,,,,,38.6875,+,0,38.6875,0,21,OMR,IPAD,1.1,
-,425,1,trial,0,31,31,31,,,,,,,,,,,31,0,31,,,,,38.6875,-,1,38.6875,1,21,OMR,IPAD,1.1,
+,500,1,trial,0,32,32,32,,,,,,,,,,,32,0,32,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
+,500,1,trial,0,33,33,33,,,,,,,,,,,33,0,33,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
-,575,0.5,trial,0,34,34,34,,,,,,,,,,,34,0,34,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,425,0.5,trial,0,35,35,35,,,,,,,,,,,35,0,35,,,,,19.34375,-,1,38.6875,1,21,OMR,IPAD,1.1,
+,500,1,trial,0,36,36,36,,,,,,,,,,,36,0,36,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
+,500,0.5,trial,0,37,37,37,,,,,,,,,,,37,0,37,,,,,19.34375,-,2,38.6875,0,21,OMR,IPAD,1.1,
-,500,1,trial,0,38,38,38,,,,,,,,,,,38,0,38,,,,,38.6875,-,1,38.6875,1,21,OMR,IPAD,1.1,
+,425,1,trial,0,39,39,39,,,,,,,,,,,39,0,39,,,,,38.6875,+,0,38.6875,1,21,OMR,IPAD,1.1,
+,575,0.5,trial,0,40,40,40,,,,,,,,,,,40,0,40,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,575,1,trial,0,41,41,41,,,,,,,,,,,41,0,41,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
+,425,1,trial,0,42,42,42,,,,,,,,,,,42,0,42,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
+,425,1,trial,0,43,43,43,,,,,,,,,,,43,0,43,,,,,38.6875,-,1,38.6875,0,21,OMR,IPAD,1.1,
-,500,0.5,trial,0,44,44,44,,,,,,,,,,,44,0,44,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,0.5,trial,0,45,45,45,,,,,,,,,,,45,0,45,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,1,trial,0,46,46,46,,,,,,,,,,,46,0,46,,,,,38.6875,-,4,38.6875,1,21,OMR,IPAD,1.1,
+,575,0.5,trial,0,47,47,47,,,,,,,,,,,47,0,47,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,1,trial,0,48,48,48,,,,,,,,,,,48,0,48,,,,,38.6875,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,425,1,trial,0,49,49,49,,,,,,,,,,,49,0,49,,,,,38.6875,+,2,38.6875,1,21,OMR,IPAD,1.1,
+,425,0.5,trial,0,50,50,50,,,,,,,,,,,50,0,50,,,,,19.34375,-,2,38.6875,0,21,OMR,IPAD,1.1,
-,575,0.5,trial,0,51,51,51,,,,,,,,,,,51,0,51,,,,,19.34375,-,0,38.6875,1,21,OMR,IPAD,1.1,
+,425,1,trial,0,52,52,52,,,,,,,,,,,52,0,52,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
+,575,0.5,trial,0,53,53,53,,,,,,,,,,,53,0,53,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,575,1,trial,0,54,54,54,,,,,,,,,,,54,0,54,,,,,38.6875,-,1,38.6875,0,21,OMR,IPAD,1.1,
-,500,0.5,trial,0,55,55,55,,,,,,,,,,,55,0,55,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,575,1,trial,0,56,56,56,,,,,,,,,,,56,0,56,,,,,38.6875,+,2,38.6875,1,21,OMR,IPAD,1.1,
-,500,1,trial,0,57,57,57,,,,,,,,,,,57,0,57,,,,,38.6875,-,1,38.6875,1,21,OMR,IPAD,1.1,
-,425,1,trial,0,58,58,58,,,,,,,,,,,58,0,58,,,,,38.6875,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,425,1,trial,0,59,59,59,,,,,,,,,,,59,0,59,,,,,38.6875,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,1,trial,0,60,60,60,,,,,,,,,,,60,0,60,,,,,38.6875,-,0,38.6875,1,21,OMR,IPAD,1.1,
-,500,1,trial,0,61,61,61,,,,,,,,,,,61,0,61,,,,,38.6875,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,500,1,trial,0,62,62,62,,,,,,,,,,,62,0,62,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
-,500,0.5,trial,0,63,63,63,,,,,,,,,,,63,0,63,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,425,1,trial,0,64,64,64,,,,,,,,,,,64,0,64,,,,,38.6875,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,0.5,trial,0,65,65,65,,,,,,,,,,,65,0,65,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,425,1,trial,0,66,66,66,,,,,,,,,,,66,0,66,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
+,425,0.5,trial,0,67,67,67,,,,,,,,,,,67,0,67,,,,,19.34375,-,2,38.6875,0,21,OMR,IPAD,1.1,
+,575,0.5,trial,0,68,68,68,,,,,,,,,,,68,0,68,,,,,19.34375,+,1,38.6875,1,21,OMR,IPAD,1.1,
-,425,1,trial,0,69,69,69,,,,,,,,,,,69,0,69,,,,,38.6875,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,1,trial,0,70,70,70,,,,,,,,,,,70,0,70,,,,,38.6875,-,0,38.6875,1,21,OMR,IPAD,1.1,
-,425,0.5,trial,0,71,71,71,,,,,,,,,,,71,0,71,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,425,0.5,trial,0,72,72,72,,,,,,,,,,,72,0,72,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,0.5,trial,0,73,73,73,,,,,,,,,,,73,0,73,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,0.5,trial,0,74,74,74,,,,,,,,,,,74,0,74,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,425,0.5,trial,0,75,75,75,,,,,,,,,,,75,0,75,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,1,trial,0,76,76,76,,,,,,,,,,,76,0,76,,,,,38.6875,-,2,38.6875,1,21,OMR,IPAD,1.1,
+,500,0.5,trial,0,77,77,77,,,,,,,,,,,77,0,77,,,,,19.34375,-,3,38.6875,0,21,OMR,IPAD,1.1,
+,500,1,trial,0,78,78,78,,,,,,,,,,,78,0,78,,,,,38.6875,+,0,38.6875,1,21,OMR,IPAD,1.1,
+,575,0.5,trial,0,79,79,79,,,,,,,,,,,79,0,79,,,,,19.34375,-,3,38.6875,0,21,OMR,IPAD,1.1,
+,500,0.5,trial,0,80,80,80,,,,,,,,,,,80,0,80,,,,,19.34375,+,1,38.6875,1,21,OMR,IPAD,1.1,
+,575,0.5,trial,0,81,81,81,,,,,,,,,,,81,0,81,,,,,19.34375,+,1,38.6875,1,21,OMR,IPAD,1.1,
+,425,0.5,trial,0,82,82,82,,,,,,,,,,,82,0,82,,,,,19.34375,+,1,38.6875,1,21,OMR,IPAD,1.1,
+,575,1,trial,0,83,83,83,,,,,,,,,,,83,0,83,,,,,38.6875,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,425,1,trial,0,84,84,84,,,,,,,,,,,84,0,84,,,,,38.6875,+,0,38.6875,1,21,OMR,IPAD,1.1,
-,500,0.5,trial,0,85,85,85,,,,,,,,,,,85,0,85,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,500,0.5,trial,0,86,86,86,,,,,,,,,,,86,0,86,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,500,1,trial,0,87,87,87,,,,,,,,,,,87,0,87,,,,,38.6875,-,1,38.6875,1,21,OMR,IPAD,1.1,
+,425,1,trial,0,88,88,88,,,,,,,,,,,88,0,88,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
+,500,1,trial,0,89,89,89,,,,,,,,,,,89,0,89,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
+,500,1,trial,0,90,90,90,,,,,,,,,,,90,0,90,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
+,425,0.5,trial,0,91,91,91,,,,,,,,,,,91,0,91,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
-,500,1,trial,0,92,92,92,,,,,,,,,,,92,0,92,,,,,38.6875,-,2,38.6875,1,21,OMR,IPAD,1.1,
-,500,0.5,trial,0,93,93,93,,,,,,,,,,,93,0,93,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,500,1,trial,0,94,94,94,,,,,,,,,,,94,0,94,,,,,38.6875,-,2,38.6875,1,21,OMR,IPAD,1.1,
-,500,1,trial,0,95,95,95,,,,,,,,,,,95,0,95,,,,,38.6875,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,575,0.5,trial,0,96,96,96,,,,,,,,,,,96,0,96,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,575,1,trial,0,97,97,97,,,,,,,,,,,97,0,97,,,,,38.6875,+,2,38.6875,1,21,OMR,IPAD,1.1,
+,500,1,trial,0,98,98,98,,,,,,,,,,,98,0,98,,,,,38.6875,-,2,38.6875,0,21,OMR,IPAD,1.1,
-,575,1,trial,0,99,99,99,,,,,,,,,,,99,0,99,,,,,38.6875,+,4,38.6875,0,21,OMR,IPAD,1.1,
-,425,1,trial,0,100,100,100,,,,,,,,,,,100,0,100,,,,,38.6875,-,2,38.6875,1,21,OMR,IPAD,1.1,
+,425,0.5,trial,0,101,101,101,,,,,,,,,,,101,0,101,,,,,19.34375,+,1,38.6875,1,21,OMR,IPAD,1.1,
-,425,1,trial,0,102,102,102,,,,,,,,,,,102,0,102,,,,,38.6875,+,2,38.6875,0,21,OMR,IPAD,1.1,
-,500,0.5,trial,0,103,103,103,,,,,,,,,,,103,0,103,,,,,19.34375,+,2,38.6875,0,21,OMR,IPAD,1.1,
-,575,1,trial,0,104,104,104,,,,,,,,,,,104,0,104,,,,,38.6875,-,1,38.6875,1,21,OMR,IPAD,1.1,
+,500,1,trial,0,105,105,105,,,,,,,,,,,105,0,105,,,,,38.6875,+,2,38.6875,1,21,OMR,IPAD,1.1,
+,575,0.5,trial,0,106,106,106,,,,,,,,,,,106,0,106,,,,,19.34375,-,2,38.6875,0,21,OMR,IPAD,1.1,
-,425,0.5,trial,0,107,107,107,,,,,,,,,,,107,0,107,,,,,19.34375,-,2,38.6875,1,21,OMR,IPAD,1.1,
+,575,1,trial,0,108,108,108,,,,,,,,,,,108,0,108,,,,,38.6875,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,425,1,trial,0,109,109,109,,,,,,,,,,,109,0,109,,,,,38.6875,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,500,0.5,trial,0,110,110,110,,,,,,,,,,,110,0,110,,,,,19.34375,+,1,38.6875,1,21,OMR,IPAD,1.1,
-,425,0.5,trial,0,111,111,111,,,,,,,,,,,111,0,111,,,,,19.34375,-,1,38.6875,1,21,OMR,IPAD,1.1,
+,575,1,trial,0,112,112,112,,,,,,,,,,,112,0,112,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
-,500,0.5,trial,0,113,113,113,,,,,,,,,,,113,0,113,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,0.5,trial,0,114,114,114,,,,,,,,,,,114,0,114,,,,,19.34375,-,1,38.6875,1,21,OMR,IPAD,1.1,
+,425,1,trial,0,115,115,115,,,,,,,,,,,115,0,115,,,,,38.6875,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,500,0.5,trial,0,116,116,116,,,,,,,,,,,116,0,116,,,,,19.34375,+,1,38.6875,1,21,OMR,IPAD,1.1,
-,575,0.5,trial,0,117,117,117,,,,,,,,,,,117,0,117,,,,,19.34375,+,2,38.6875,0,21,OMR,IPAD,1.1,
+,425,0.5,trial,0,118,118,118,,,,,,,,,,,118,0,118,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,575,1,trial,0,119,119,119,,,,,,,,,,,119,0,119,,,,,38.6875,+,2,38.6875,1,21,OMR,IPAD,1.1,
-,500,1,trial,0,120,120,120,,,,,,,,,,,120,0,120,,,,,38.6875,-,1,38.6875,1,21,OMR,IPAD,1.1,
-,575,1,trial,0,121,121,121,,,,,,,,,,,121,0,121,,,,,38.6875,-,1,38.6875,1,21,OMR,IPAD,1.1,
+,500,0.5,trial,0,122,122,122,,,,,,,,,,,122,0,122,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
-,425,1,trial,0,123,123,123,,,,,,,,,,,123,0,123,,,,,38.6875,-,2,38.6875,1,21,OMR,IPAD,1.1,
+,575,1,trial,0,124,124,124,,,,,,,,,,,124,0,124,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
-,500,0.5,trial,0,125,125,125,,,,,,,,,,,125,0,125,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,425,1,trial,0,126,126,126,,,,,,,,,,,126,0,126,,,,,38.6875,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,425,1,trial,0,127,127,127,,,,,,,,,,,127,0,127,,,,,38.6875,-,1,38.6875,1,21,OMR,IPAD,1.1,
-,425,1,trial,0,128,128,128,,,,,,,,,,,128,0,128,,,,,38.6875,+,0,38.6875,0,21,OMR,IPAD,1.1,
+,425,1,trial,0,129,129,129,,,,,,,,,,,129,0,129,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
-,575,0.5,trial,0,130,130,130,,,,,,,,,,,130,0,130,,,,,19.34375,-,0,38.6875,1,21,OMR,IPAD,1.1,
-,500,1,trial,0,131,131,131,,,,,,,,,,,131,0,131,,,,,38.6875,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,575,0.5,trial,0,132,132,132,,,,,,,,,,,132,0,132,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
-,425,1,trial,0,133,133,133,,,,,,,,,,,133,0,133,,,,,38.6875,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,500,0.5,trial,0,134,134,134,,,,,,,,,,,134,0,134,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,500,0.5,trial,0,135,135,135,,,,,,,,,,,135,0,135,,,,,19.34375,-,0,38.6875,0,21,OMR,IPAD,1.1,
+,575,0.5,trial,0,136,136,136,,,,,,,,,,,136,0,136,,,,,19.34375,+,2,38.6875,1,21,OMR,IPAD,1.1,
-,425,0.5,trial,0,137,137,137,,,,,,,,,,,137,0,137,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,0.5,trial,0,138,138,138,,,,,,,,,,,138,0,138,,,,,19.34375,+,2,38.6875,0,21,OMR,IPAD,1.1,
+,500,1,trial,0,139,139,139,,,,,,,,,,,139,0,139,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
-,425,0.5,trial,0,140,140,140,,,,,,,,,,,140,0,140,,,,,19.34375,-,1,38.6875,1,21,OMR,IPAD,1.1,
+,425,1,trial,0,141,141,141,,,,,,,,,,,141,0,141,,,,,38.6875,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,425,0.5,trial,0,142,142,142,,,,,,,,,,,142,0,142,,,,,19.34375,+,1,38.6875,1,21,OMR,IPAD,1.1,
-,425,1,trial,0,143,143,143,,,,,,,,,,,143,0,143,,,,,38.6875,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,500,1,trial,0,144,144,144,,,,,,,,,,,144,0,144,,,,,38.6875,+,2,38.6875,1,21,OMR,IPAD,1.1,
-,500,1,trial,0,145,145,145,,,,,,,,,,,145,0,145,,,,,38.6875,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,500,0.5,trial,0,146,146,146,,,,,,,,,,,146,0,146,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,1,trial,0,147,147,147,,,,,,,,,,,147,0,147,,,,,38.6875,-,1,38.6875,1,21,OMR,IPAD,1.1,
-,575,1,trial,0,148,148,148,,,,,,,,,,,148,0,148,,,,,38.6875,+,3,38.6875,0,21,OMR,IPAD,1.1,
+,500,1,trial,0,149,149,149,,,,,,,,,,,149,0,149,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
+,425,0.5,trial,0,150,150,150,,,,,,,,,,,150,0,150,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
-,500,1,trial,0,151,151,151,,,,,,,,,,,151,0,151,,,,,38.6875,-,1,38.6875,1,21,OMR,IPAD,1.1,
-,425,0.5,trial,0,152,152,152,,,,,,,,,,,152,0,152,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,575,0.5,trial,0,153,153,153,,,,,,,,,,,153,0,153,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,575,1,trial,0,154,154,154,,,,,,,,,,,154,0,154,,,,,38.6875,+,2,38.6875,1,21,OMR,IPAD,1.1,
-,500,0.5,trial,0,155,155,155,,,,,,,,,,,155,0,155,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,500,1,trial,0,156,156,156,,,,,,,,,,,156,0,156,,,,,38.6875,+,2,38.6875,0,21,OMR,IPAD,1.1,
+,425,0.5,trial,0,157,157,157,,,,,,,,,,,157,0,157,,,,,19.34375,+,0,38.6875,1,21,OMR,IPAD,1.1,
-,575,0.5,trial,0,158,158,158,,,,,,,,,,,158,0,158,,,,,19.34375,-,2,38.6875,1,21,OMR,IPAD,1.1,
+,425,1,trial,0,159,159,159,,,,,,,,,,,159,0,159,,,,,38.6875,+,2,38.6875,1,21,OMR,IPAD,1.1,
-,500,0.5,trial,0,160,160,160,,,,,,,,,,,160,0,160,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,500,0.5,trial,0,161,161,161,,,,,,,,,,,161,0,161,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,500,1,trial,0,162,162,162,,,,,,,,,,,162,0,162,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
+,575,0.5,trial,0,163,163,163,,,,,,,,,,,163,0,163,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,500,0.5,trial,0,164,164,164,,,,,,,,,,,164,0,164,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,425,1,trial,0,165,165,165,,,,,,,,,,,165,0,165,,,,,38.6875,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,575,1,trial,0,166,166,166,,,,,,,,,,,166,0,166,,,,,38.6875,-,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,0.5,trial,0,167,167,167,,,,,,,,,,,167,0,167,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,425,1,trial,0,168,168,168,,,,,,,,,,,168,0,168,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
+,500,1,trial,0,169,169,169,,,,,,,,,,,169,0,169,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
+,425,0.5,trial,0,170,170,170,,,,,,,,,,,170,0,170,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,500,0.5,trial,0,171,171,171,,,,,,,,,,,171,0,171,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,1,trial,0,172,172,172,,,,,,,,,,,172,0,172,,,,,38.6875,+,2,38.6875,0,21,OMR,IPAD,1.1,
-,425,0.5,trial,0,173,173,173,,,,,,,,,,,173,0,173,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,575,0.5,trial,0,174,174,174,,,,,,,,,,,174,0,174,,,,,19.34375,+,2,38.6875,1,21,OMR,IPAD,1.1,
-,425,0.5,trial,0,175,175,175,,,,,,,,,,,175,0,175,,,,,19.34375,-,1,38.6875,1,21,OMR,IPAD,1.1,
+,575,1,trial,0,176,176,176,,,,,,,,,,,176,0,176,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
-,500,1,trial,0,177,177,177,,,,,,,,,,,177,0,177,,,,,38.6875,+,0,38.6875,0,21,OMR,IPAD,1.1,
+,575,1,trial,0,178,178,178,,,,,,,,,,,178,0,178,,,,,38.6875,-,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,0.5,trial,0,179,179,179,,,,,,,,,,,179,0,179,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,1,trial,0,180,180,180,,,,,,,,,,,180,0,180,,,,,38.6875,-,1,38.6875,1,21,OMR,IPAD,1.1,
-,575,1,trial,0,181,181,181,,,,,,,,,,,181,0,181,,,,,38.6875,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,500,0.5,trial,0,182,182,182,,,,,,,,,,,182,0,182,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,425,0.5,trial,0,183,183,183,,,,,,,,,,,183,0,183,,,,,19.34375,+,2,38.6875,1,21,OMR,IPAD,1.1,
-,425,0.5,trial,0,184,184,184,,,,,,,,,,,184,0,184,,,,,19.34375,+,0,38.6875,0,21,OMR,IPAD,1.1,
+,425,1,trial,0,185,185,185,,,,,,,,,,,185,0,185,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
-,500,1,trial,0,186,186,186,,,,,,,,,,,186,0,186,,,,,38.6875,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,575,0.5,trial,0,187,187,187,,,,,,,,,,,187,0,187,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,575,0.5,trial,0,188,188,188,,,,,,,,,,,188,0,188,,,,,19.34375,-,0,38.6875,0,21,OMR,IPAD,1.1,
+,575,1,trial,0,189,189,189,,,,,,,,,,,189,0,189,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
-,575,1,trial,0,190,190,190,,,,,,,,,,,190,0,190,,,,,38.6875,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,500,0.5,trial,0,191,191,191,,,,,,,,,,,191,0,191,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
-,425,0.5,trial,0,192,192,192,,,,,,,,,,,192,0,192,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,575,1,trial,0,193,193,193,,,,,,,,,,,193,0,193,,,,,38.6875,-,0,38.6875,0,21,OMR,IPAD,1.1,
+,425,0.5,trial,0,194,194,194,,,,,,,,,,,194,0,194,,,,,19.34375,+,2,38.6875,1,21,OMR,IPAD,1.1,
+,425,0.5,trial,0,195,195,195,,,,,,,,,,,195,0,195,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
-,500,0.5,trial,0,196,196,196,,,,,,,,,,,196,0,196,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
+,575,1,trial,0,197,197,197,,,,,,,,,,,197,0,197,,,,,38.6875,-,1,38.6875,0,21,OMR,IPAD,1.1,
-,425,0.5,trial,0,198,198,198,,,,,,,,,,,198,0,198,,,,,19.34375,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,500,1,trial,0,199,199,199,,,,,,,,,,,199,0,199,,,,,38.6875,-,1,38.6875,1,21,OMR,IPAD,1.1,
-,425,1,trial,0,200,200,200,,,,,,,,,,,200,0,200,,,,,38.6875,-,1,38.6875,1,21,OMR,IPAD,1.1,
+,500,1,trial,0,201,201,201,,,,,,,,,,,201,0,201,,,,,38.6875,-,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,0.5,trial,0,202,202,202,,,,,,,,,,,202,0,202,,,,,19.34375,-,1,38.6875,1,21,OMR,IPAD,1.1,
-,425,1,trial,0,203,203,203,,,,,,,,,,,203,0,203,,,,,38.6875,-,1,38.6875,1,21,OMR,IPAD,1.1,
+,575,0.5,trial,0,204,204,204,,,,,,,,,,,204,0,204,,,,,19.34375,-,1,38.6875,0,21,OMR,IPAD,1.1,
+,500,1,trial,0,205,205,205,,,,,,,,,,,205,0,205,,,,,38.6875,+,1,38.6875,1,21,OMR,IPAD,1.1,
-,500,0.5,trial,0,206,206,206,,,,,,,,,,,206,0,206,,,,,19.34375,-,2,38.6875,1,21,OMR,IPAD,1.1,
-,500,1,trial,0,207,207,207,,,,,,,,,,,207,0,207,,,,,38.6875,-,1,38.6875,1,21,OMR,IPAD,1.1,
-,575,0.5,trial,0,208,208,208,,,,,,,,,,,208,0,208,,,,,19.34375,+,0,38.6875,0,21,OMR,IPAD,1.1,
-,575,1,trial,0,209,209,209,,,,,,,,,,,209,0,209,,,,,38.6875,+,1,38.6875,0,21,OMR,IPAD,1.1,
-,575,0.5,trial,0,210,210,210,,,,,,,,,,,210,0,210,,,,,19.34375,-,1,38.6875,1,21,OMR,IPAD,1.1,
